Post title,Created date,Engagement rate
"On Monday, KickstartAI joined Minister Vincent Karremans and a small group of industry leaders at the Ministry of Economic Affairs for a roundtable on AI adoption in the Netherlands.

🇳🇱 The urgency around labour productivity, our national earning capacity, and ensuring a positive societal impact  is undeniable – and it demands action now. If we want to stay competitive, we need to treat the Netherlands as a scale-up country for AI adoption – moving beyond high-level reflections to the reality of implementation in day-to-day operations.

For the past four years, KickstartAI and our founding partners have been working exactly there: in the core of organizations. Our experience shows that meaningful AI adoption is a steep learning curve. It means tackling real problems, embedding AI into core processes, and dealing with culture and governance – not just rolling out tools.

We believe large companies play a crucial role as the flywheel for Dutch AI innovation and practical adoption at scale. Our new CEO Erick Webbe indicated we are committed to staying the course, with the ambition to build on it nationally and deliver a tenfold increase in lasting impact: with big and small businesses. 

Looking at the new coalition agreement this is a shared goal. The focus now must be on turning it into practice. 

A sincere thank you to Vincent Karremans and Martijn Lucassen for the invitation and to all participants for the open and practical discussion Art de Blaauw, Hiek Van der Scheer, Juliette Goetzee, Saskia Mureau, Thomas Grosfeld, Jelle Prins!",02/04/2026,0.04116465896368027
"De ambitie op AI is duidelijk verankerd in het coalitieakkoord ‘Aan de Slag.’ Mooi om te zien dat dit wordt vertaald naar concrete acties: inzet op een NADI, aandacht voor AI-geletterdheid, aanpassing van de WBSO om de ontwikkeling van AI te stimuleren, en uiteraard een verantwoorde inzet van AI binnen de overheid zelf. 

Wie gelooft in de economie van de toekomst en digitaal koploper wil zijn, zal hier echt stappen in moeten zetten.

➡️ Van pilot naar implementatie; van klein beginnen naar opschalen en vooral in de praktijk doen. Bij KickstartAI herkennen we dat: al meer dan vijf jaar werken wij aan het versnellen van AI-adoptie. Wij kijken ernaar uit deze uitdaging samen met Kabinet en Kamer op te pakken.

Lees meer 👇 
https://lnkd.in/evvfJ5_i
",02/02/2026,0.02668890729546547
"How do you build and evaluate a generative AI chatbot for financial health? 💬 

In a new technical blog, Julian von der Goltz, ML Engineer at KickstartAI, shares insights from our recent challenge with ING – where participants from Ahold Delhaize, KLM Royal Dutch Airlines, Nederlandse Spoorwegen, bol, ING, and KickstartAI joined forces to explore how an GenAI-powered chatbot could support financial health in a responsible and scalable way.

The blog highlights how the team: 
🔸 set up the challenge 
🔸 evaluated the chatbot using synthetic conversations, LLM-based judges, and deterministic metrics
🔸 customized the chatbot to adapt to the tone and style of different users 
🔸 combined a multi-agent architecture, retrieval, tool calling, and guardrails to keep responses accurate and within scope

👇 Read the full article below
https://lnkd.in/dGZ5dEHg

#GenAI #FinancialHealth #Chatbot",02/02/2026,0.033362217247486115
"Yesterday, we held our first KickstartAI community technical meetup of the year, joining forces with PyData Amsterdam to dive into the practical realities of engineering LLMs. We dove into: 

🇳🇱 Training Sovereign Models from Scratch:
Julio Alexandrino Oliveira Filho and Alexandru Turcu took us behind the scenes of GPT-NL, breaking down the immense engineering effort required to build a transparent, Dutch-language foundation model aligned with European values. 

🔒 Architecting Privacy-First Environments:
Eduardo Bonet shared lessons from GitLab on “Bring Your Own Model” workflows. His talk focused on the architecture of GitLab Duo Self-Hosted, showing how to design model-agnostic systems that enable high-performance AI while maintaining strict governance and privacy guarantees.

A big thank you to everyone for being here and to the House of Watt for hosting us! 🌟 

#AI #KickstartAImeetup #PyDataAmsterdam #LLMs",01/30/2026,0.3745892643928528
"In our latest Community Spotlight, we spoke with Stan Dumont, data scientist at Lynxx, about how agentic AI can help close the gap between data and business, enabling to people interact with data in natural language. 

We discuss:
🔸 Why dashboards alone often fall short once questions start piling up
🔸 How to integrate agents into real data architectures
🔸 How to approach trust, transparency, and safety
🔸 What changes when the value of a system shows up in daily use rather than metrics

👇 Read the full story below: 
https://lnkd.in/dsuWH9UJ

#AI #AgenticAI #DataGap",01/29/2026,0.027027027681469917
"Last Friday, the KickstartAI community gathered at the Hortus Botanicus Amsterdam to start 2026 by (re)connecting with each other and discussing our work in AI 🤝 

Through facilitated networking rounds, people quickly got specific about their roles, current challenges, and what kind of collaboration would actually be useful. 

From there, Roel Willems (Ahold Delhaize) offered an update on the state of AI adoption in the Netherlands – a timely reminder that progress isn’t just about technical capability, but about making deliberate choices along the way.

We ended with a guided walk through the gardens, which turned out to be a fitting metaphor: healthy ecosystems depend on diversity, cross-pollination, and long-term thinking – much like the AI ecosystem we’re building. 

🌟 A big thank you to everyone who joined! 

#KickstartAICommunity #AINetherlands #AI 
",01/26/2026,0.4065345525741577
"🌍 How are AI and Earth observation changing decision-making on the ground?

Public space data, commercial satellite imagery, and recent advances in AI are expanding what’s possible with Earth observation – both in how data is accessed and how it’s analysed.

In our latest article, we look at current and evolving AI uses in EO and examine different EO markets and applications, from climate monitoring and biodiversity assessment to regional policy-making and emerging commercial use cases. 

We spoke with Parya Pasha Zadeh (Program Manager at NL Space Campus) and Thijs Oosterhuis (Solutions Architect for Geo and Remote Sensing at @ Provincie Zuid-Holland) about how these developments are unfolding in practice, drawing on perspectives from applied EO work in the Netherlands.

👇 Read the full article below:
https://lnkd.in/esPQitmu

#AI #EarthObservation #GIS 
",01/22/2026,0.03515263646841049
"What happens when the gap between ideas and execution starts to shrink? 

🎧 In our latest podcast, Evertjan Peer, Cascha van Wanrooij, and Nic van Vliet discuss how agentic coding and no-/low-code platforms are changing who can build software, and why this shift could mean for the AI industry. 

👇 Listen to full conversation below: 
Spotify: https://lnkd.in/e9TTVz9G
Apple Podcasts: https://lnkd.in/e_WrtitT

#TheKickstartAIPodcast #AI #AgenticCoding #VibeCoding ",01/12/2026,0.039647575467824936
"Over the past months, we collaborated with DenkWerk on their new report examining Europe’s geopolitical and geo-economic position – and what it will take to strengthen Europe’s ability to act.

💡Thanks to the work of our ML Engineer Cascha van Wanrooij we used AI to transcribe and analyze public sessions of the Council of the EU to extract how countries position themselves on different topics and where their views align.

This made it possible to create cluster maps showing potential areas for collaboration – a key starting point for identifying coalitions that could move faster on strategic initiatives such as shared European infrastructure.

👉Read the full report “Market and Power: Player or Playing Field in the Hegemony Struggle: https://lnkd.in/enPriPN4",01/20/2026,0.06809338182210922
"We’re proud to have been shortlisted as a finalist for AI Company of the Year at the National AI Awards 2025, organised by AIMAZE NL 🏆

This nomination reflects a year for hard work done together with our partners, collaborators, and the broader community, focused on applying AI in practice to support AI adoption. 

Congratulations to the winner Artific and to all finalists Cradle, The Automation Group, and Tellet 👏  We’re glad to be part of an ecosystem that continues to move AI forward!

#AI #AINetherlands",01/16/2026,0.12845011055469513
